ProteinID_x,Description,SignalP,Cwpred,TMHMM,DeepLocPro,ProteinID_clean,ProteinID_y,Pfam,SignalP_score,Cwpred_score,TMHMM_score,DeepLoc_score,Pfam_score,raw_sum,available_max,score100
WP_001830655.1 MULTISPECIES_ hypothetical protein _Bacillati_,hypothetical protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001830655.1,,,20,6,15,8,,49,70,70
WP_001831193.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001831193.1,,,20,6,15,8,,49,70,70
WP_001831755.1 MULTISPECIES_ lipoprotein _Staphylococcus_,lipoprotein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001831755.1,,,20,6,15,8,,49,70,70
WP_001832103.1 MULTISPECIES_ manganese ABC transporter substrate-binding lipoprotein MntC _Staphylococcus_,manganese ABC transporter substrate-binding lipoprotein MntC ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001832103.1,,,20,6,15,8,,49,70,70
WP_001832142.1 MULTISPECIES_ SA0632 family lipoprotein _Staphylococcus_,SA0632 family lipoprotein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001832142.1,,,20,6,15,8,,49,70,70
WP_002437175.1 MULTISPECIES_ NDxxF motif lipoprotein _Staphylococcus_,NDxxF motif lipoprotein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002437175.1,,,20,6,15,8,,49,70,70
WP_002437520.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002437520.1,,,20,6,15,8,,49,70,70
WP_002438295.1 MULTISPECIES_ DsbA family protein _Staphylococcus_,DsbA family protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002438295.1,,,20,6,15,8,,49,70,70
WP_002456836.1 MULTISPECIES_ dipeptide ABC transporter glycylmethionine-binding lipoprotein _Staphylococcus_,dipeptide ABC transporter glycylmethionine-binding lipoprotein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002456836.1,,,20,6,15,8,,49,70,70
WP_001832672.1 YSIRK signal domain_LPXTG anchor domain surface protein _Staphylococcus epidermidis_,YSIRK signal domain_LPXTG anchor domain surface protein ,SP,Cell-wall binding protein,PredHel=1,Cellwall_Surface,WP_001832672.1,WP_001832672.1,PF00746;PF04650;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564;PF07564,16,15,6,20,12,69,100,69
WP_001829380.1 MULTISPECIES_ autolysin_adhesin Aae _Staphylococcus_,autolysin_adhesin Aae ,SP,Transmembrane protein,PredHel=0,Extracellular,WP_001829380.1,WP_001829380.1,PF05257;PF01476;PF01476;PF01476,16,3,15,16,18,68,100,68
WP_001831890.1 MULTISPECIES_ LPXTG cell wall anchor domain-containing protein _Staphylococcus_,LPXTG cell wall anchor domain-containing protein ,SP,Cell-wall binding protein,PredHel=2,Extracellular,WP_001831890.1,,,16,15,0,16,,47,70,67.14285714
WP_001832086.1 MULTISPECIES_ LysM peptidoglycan-binding domain-containing protein _Staphylococcus_,LysM peptidoglycan-binding domain-containing protein ,SP,Globular protein,PredHel=0,Extracellular,WP_001832086.1,WP_001832086.1,PF05257;PF01476;PF01476,16,6,15,16,12,65,100,65
WP_002456484.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,SP,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002456484.1,,,16,6,15,8,,45,70,64.28571429
WP_049387514.1 MSCRAMM-like protein SdrH _Staphylococcus epidermidis_,MSCRAMM-like protein SdrH ,SP,Transmembrane protein,PredHel=1,Cellwall_Surface,WP_049387514.1,,,16,3,6,20,,45,70,64.28571429
WP_001832578.1 MULTISPECIES_ YSIRK-targeted triacylglycerol lipase _Staphylococcus_,YSIRK-targeted triacylglycerol lipase ,SP,Globular protein,PredHel=1,Extracellular,WP_001832578.1,,,16,6,6,16,,44,70,62.85714286
WP_002437272.1 MULTISPECIES_ YSIRK-targeted triacylglycerol lipase _Staphylococcus_,YSIRK-targeted triacylglycerol lipase ,SP,Globular protein,PredHel=1,Extracellular,WP_002437272.1,,,16,6,6,16,,44,70,62.85714286
WP_410467994.1 MULTISPECIES_ SdrD B-like domain-containing protein _Staphylococcus_,SdrD B-like domain-containing protein ,OTHER,Cell-wall binding protein,PredHel=0,Cellwall_Surface,WP_410467994.1,WP_410467994.1,PF00746;PF10425;PF17210;PF17210,0,15,15,20,12,62,100,62
WP_001830659.1 MULTISPECIES_ hypothetical protein _Bacillota_,hypothetical protein ,SP,Transmembrane protein,PredHel=1,Extracellular,WP_001830659.1,,,16,3,6,16,,41,70,58.57142857
WP_001829568.1 MULTISPECIES_ EMYY motif lipoprotein _Staphylococcus_,EMYY motif lipoprotein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_001829568.1,,,20,6,6,8,,40,70,57.14285714
WP_001831857.1 MULTISPECIES_ CapA family protein _Bacillota_,CapA family protein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_001831857.1,,,20,6,6,8,,40,70,57.14285714
WP_002437636.1 tandem-type lipoprotein _Staphylococcus epidermidis_,WP_002437636.1 tandem-type lipoprotein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_002437636.1,,,20,6,6,8,,40,70,57.14285714
WP_002437673.1 MULTISPECIES_ extracellular solute-binding protein _Staphylococcus_,extracellular solute-binding protein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_002437673.1,,,20,6,6,8,,40,70,57.14285714
WP_002438231.1 MULTISPECIES_ YehR family lipoprotein _Staphylococcus_,YehR family lipoprotein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_002438231.1,,,20,6,6,8,,40,70,57.14285714
WP_002456747.1 MULTISPECIES_ DUF1672 domain-containing protein _Staphylococcus_,DUF1672 domain-containing protein ,LIPO,Globular protein,PredHel=0,Extracellular,WP_002456747.1,WP_002456747.1,PF07901,20,6,15,16,0,57,100,57
WP_002469303.1 MULTISPECIES_ DUF1672 domain-containing protein _Staphylococcus_,DUF1672 domain-containing protein ,LIPO,Globular protein,PredHel=0,Extracellular,WP_002469303.1,WP_002469303.1,PF07901,20,6,15,16,0,57,100,57
WP_001829904.1 MULTISPECIES_ transglycosylase family protein _Staphylococcus_,transglycosylase family protein ,SP,Globular protein,PredHel=0,Extracellular,WP_001829904.1,WP_001829904.1,PF06737,16,6,15,16,0,53,100,53
"WP_001830467.1 MULTISPECIES_ 5_-nucleotidase, lipoprotein e_P4_ family _Staphylococcus_","5_-nucleotidase, lipoprotein e_P4_ family ",SP,Globular protein,PredHel=0,Extracellular,WP_001830467.1,WP_001830467.1,PF03767,16,6,15,16,0,53,100,53
WP_001831741.1 MULTISPECIES_ DUF5011 domain-containing protein _Staphylococcus_,DUF5011 domain-containing protein ,SP,Globular protein,PredHel=0,Extracellular,WP_001831741.1,WP_001831741.1,PF16403,16,6,15,16,0,53,100,53
WP_001831987.1 MULTISPECIES_ glycerophosphodiester phosphodiesterase _Staphylococcus_,glycerophosphodiester phosphodiesterase ,SP,Globular protein,PredHel=0,Extracellular,WP_001831987.1,WP_001831987.1,PF03009,16,6,15,16,0,53,100,53
WP_002437208.1 MULTISPECIES_ GH25 family lysozyme _Staphylococcus_,GH25 family lysozyme ,SP,Globular protein,PredHel=0,Extracellular,WP_002437208.1,WP_002437208.1,PF01183,16,6,15,16,0,53,100,53
WP_002456720.1 MULTISPECIES_ alkaline phosphatase _Staphylococcus_,alkaline phosphatase ,SP,Globular protein,PredHel=0,Extracellular,WP_002456720.1,WP_002456720.1,PF00245,16,6,15,16,0,53,100,53
WP_002456744.1 MULTISPECIES_ M4 family metallopeptidase _Staphylococcus_,M4 family metallopeptidase ,SP,Globular protein,PredHel=0,Extracellular,WP_002456744.1,WP_002456744.1,PF02868;PF03413;PF07504;PF01447,16,6,15,16,0,53,100,53
WP_000377077.1 MULTISPECIES_ hypothetical protein _Bacilli_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_000377077.1,,,0,6,15,16,,37,70,52.85714286
WP_000931963.1 MULTISPECIES_ hypothetical protein _Bacillati_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_000931963.1,,,0,6,15,16,,37,70,52.85714286
WP_001137495.1 MULTISPECIES_ 30S ribosomal protein S7 _Bacilli_,30S ribosomal protein S7 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001137495.1,,,0,6,15,16,,37,70,52.85714286
WP_001551935.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001551935.1,,,0,6,15,16,,37,70,52.85714286
WP_001829613.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829613.1,,,0,6,15,16,,37,70,52.85714286
WP_001829655.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829655.1,,,0,6,15,16,,37,70,52.85714286
WP_001829742.1 MULTISPECIES_ 50S ribosomal protein L14 _Bacillati_,50S ribosomal protein L14 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829742.1,,,0,6,15,16,,37,70,52.85714286
WP_001829788.1 MULTISPECIES_ 50S ribosomal protein L2 _Staphylococcus_,50S ribosomal protein L2 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829788.1,,,0,6,15,16,,37,70,52.85714286
WP_001829931.1 MULTISPECIES_ type II toxin-antitoxin system antitoxin MazE _Staphylococcus_,type II toxin-antitoxin system antitoxin MazE ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829931.1,,,0,6,15,16,,37,70,52.85714286
WP_001830061.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001830061.1,,,0,6,15,16,,37,70,52.85714286
WP_001830095.1 MULTISPECIES_ beta-class phenol-soluble modulin _Bacillati_,beta-class phenol-soluble modulin ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001830095.1,,,0,6,15,16,,37,70,52.85714286
WP_001830107.1 MULTISPECIES_ 50S ribosomal protein L28 _Staphylococcus_,50S ribosomal protein L28 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001830107.1,,,0,6,15,16,,37,70,52.85714286
WP_001830798.1 MULTISPECIES_ 30S ribosomal protein S4 _Staphylococcus_,30S ribosomal protein S4 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001830798.1,,,0,6,15,16,,37,70,52.85714286
WP_001831003.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001831003.1,,,0,6,15,16,,37,70,52.85714286
WP_001832147.1 MULTISPECIES_ sigS mRNA-stabilizing protein SroA _Staphylococcus_,sigS mRNA-stabilizing protein SroA ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001832147.1,,,0,6,15,16,,37,70,52.85714286
WP_002438111.1 MULTISPECIES_ PTS beta-glucoside transporter _Staphylococcus_,PTS beta-glucoside transporter ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002438111.1,,,0,6,15,16,,37,70,52.85714286
WP_002438395.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002438395.1,,,0,6,15,16,,37,70,52.85714286
WP_002438726.1 MULTISPECIES_ C1q-binding complement inhibitor VraX _Bacteria_,C1q-binding complement inhibitor VraX ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002438726.1,,,0,6,15,16,,37,70,52.85714286
WP_002456423.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002456423.1,,,0,6,15,16,,37,70,52.85714286
WP_002456695.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002456695.1,,,0,6,15,16,,37,70,52.85714286
WP_002467715.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002467715.1,,,0,6,15,16,,37,70,52.85714286
WP_002489903.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002489903.1,,,0,6,15,16,,37,70,52.85714286
WP_002495357.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002495357.1,,,0,6,15,16,,37,70,52.85714286
WP_083553772.1 MULTISPECIES_ nucleotidyltransferase domain-containing protein _Staphylococcus_,nucleotidyltransferase domain-containing protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_083553772.1,,,0,6,15,16,,37,70,52.85714286
WP_095658922.1 MULTISPECIES_ epsilon family phenol-soluble modulin _Bacillales_,epsilon family phenol-soluble modulin ,OTHER,Globular protein,PredHel=0,Extracellular,WP_095658922.1,,,0,6,15,16,,37,70,52.85714286
WP_096824640.1 MULTISPECIES_ alpha-1_alpha-2 family phenol-soluble modulin _Bacteria_,alpha-1_alpha-2 family phenol-soluble modulin ,OTHER,Globular protein,PredHel=0,Extracellular,WP_096824640.1,,,0,6,15,16,,37,70,52.85714286
WP_153801568.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_153801568.1,,,0,6,15,16,,37,70,52.85714286
WP_001830333.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,SP,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_001830333.1,,,16,6,6,8,,36,70,51.42857143
WP_001831148.1 MULTISPECIES_ DNA damage-induced cell division inhibitor SosA _Staphylococcus_,DNA damage-induced cell division inhibitor SosA ,SP,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_001831148.1,,,16,6,6,8,,36,70,51.42857143
WP_002440903.1 MULTISPECIES_ CHAP domain-containing protein _Staphylococcus_,CHAP domain-containing protein ,SP,Transmembrane protein,PredHel=0,Extracellular,WP_002440903.1,WP_002440903.1,PF05257,16,3,15,16,0,50,100,50
WP_002456424.1 MULTISPECIES_ halocin C8 precursor-like protein _Staphylococcus_,halocin C8 precursor-like protein ,SP,Transmembrane protein,PredHel=3,Extracellular,WP_002456424.1,,,16,3,0,16,,35,70,50
WP_000746201.1 MULTISPECIES_ TlpA family protein disulfide reductase _Bacilli_,TlpA family protein disulfide reductase ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_000746201.1,WP_000746201.1,PF13905,20,6,15,8,0,49,100,49
WP_001829253.1 MULTISPECIES_ peptide ABC transporter substrate-binding protein _Staphylococcus_,peptide ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001829253.1,WP_001829253.1,PF00496,20,6,15,8,0,49,100,49
WP_001829571.1 MULTISPECIES_ ferrated catecholamine ABC transporter substrate-binding lipoprotein SstD _Staphylococcus_,ferrated catecholamine ABC transporter substrate-binding lipoprotein SstD ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001829571.1,WP_001829571.1,PF01497,20,6,15,8,0,49,100,49
WP_001830329.1 MULTISPECIES_ DM13 domain-containing protein _Bacillales_,DM13 domain-containing protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001830329.1,WP_001830329.1,PF10517,20,6,15,8,0,49,100,49
WP_001830462.1 MULTISPECIES_ staphylopine-dependent metal ABC transporter substrate-binding lipoprotein CntA _Staphylococcus_,staphylopine-dependent metal ABC transporter substrate-binding lipoprotein CntA ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001830462.1,WP_001830462.1,PF00496,20,6,15,8,0,49,100,49
WP_001831206.1 MULTISPECIES_ PstS family phosphate ABC transporter substrate-binding protein _Staphylococcus_,PstS family phosphate ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001831206.1,WP_001831206.1,PF12849,20,6,15,8,0,49,100,49
WP_001831225.1 MULTISPECIES_ extracellular solute-binding protein _Staphylococcus_,extracellular solute-binding protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001831225.1,WP_001831225.1,PF01547,20,6,15,8,0,49,100,49
WP_001831622.1 MULTISPECIES_ DUF4467 domain-containing protein _Staphylococcus_,DUF4467 domain-containing protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001831622.1,WP_001831622.1,PF14729,20,6,15,8,0,49,100,49
WP_001832728.1 MULTISPECIES_ ABC transporter substrate-binding protein _Staphylococcus_,ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001832728.1,WP_001832728.1,PF01497,20,6,15,8,0,49,100,49
WP_002437638.1 MULTISPECIES_ tandem-type lipoprotein _Staphylococcus_,tandem-type lipoprotein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002437638.1,WP_002437638.1,PF04507,20,6,15,8,0,49,100,49
"WP_002437720.1 MULTISPECIES_ metal ABC transporter solute-binding protein, Zn_Mn family _Staphylococcus_","metal ABC transporter solute-binding protein, Zn_Mn family ",LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002437720.1,WP_002437720.1,PF01297,20,6,15,8,0,49,100,49
WP_002438286.1 MULTISPECIES_ transporter substrate-binding domain-containing protein _Staphylococcus_,transporter substrate-binding domain-containing protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002438286.1,WP_002438286.1,PF00497,20,6,15,8,0,49,100,49
WP_002438303.1 MULTISPECIES_ nickel ABC transporter substrate-binding protein _Staphylococcus_,nickel ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002438303.1,WP_002438303.1,PF00496,20,6,15,8,0,49,100,49
WP_002438502.1 MULTISPECIES_ molybdate ABC transporter substrate-binding protein _Staphylococcus_,molybdate ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002438502.1,WP_002438502.1,PF13531,20,6,15,8,0,49,100,49
WP_002456004.1 MULTISPECIES_ ABC transporter substrate-binding protein _Staphylococcus_,ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002456004.1,WP_002456004.1,PF01497,20,6,15,8,0,49,100,49
WP_002456352.1 MULTISPECIES_ foldase protein PrsA _Staphylococcus_,foldase protein PrsA ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002456352.1,WP_002456352.1,PF00639,20,6,15,8,0,49,100,49
WP_002486059.1 MULTISPECIES_ YkyA family protein _Staphylococcus_,YkyA family protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002486059.1,WP_002486059.1,PF10368,20,6,15,8,0,49,100,49
WP_002489738.1 MULTISPECIES_ phosphate_phosphite_phosphonate ABC transporter substrate-binding protein _Staphylococcus_,phosphate_phosphite_phosphonate ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002489738.1,WP_002489738.1,PF12974,20,6,15,8,0,49,100,49
WP_001830190.1 MULTISPECIES_ beta-class phenol-soluble modulin _Staphylococcus_,beta-class phenol-soluble modulin ,OTHER,Transmembrane protein,PredHel=0,Extracellular,WP_001830190.1,,,0,3,15,16,,34,70,48.57142857
WP_001831116.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,PILIN,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_001831116.1,,,14,6,6,8,,34,70,48.57142857
WP_001831736.1 MULTISPECIES_ cytochrome aa3 quinol oxidase subunit II _Staphylococcus_,cytochrome aa3 quinol oxidase subunit II ,LIPO,Globular protein,PredHel=3,Cytoplasmic Membrane,WP_001831736.1,,,20,6,0,8,,34,70,48.57142857
WP_002437676.1 MULTISPECIES_ beta-class phenol-soluble modulin _Staphylococcus_,beta-class phenol-soluble modulin ,OTHER,Transmembrane protein,PredHel=0,Extracellular,WP_002437676.1,,,0,3,15,16,,34,70,48.57142857
WP_002437887.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Transmembrane protein,PredHel=0,Extracellular,WP_002437887.1,,,0,3,15,16,,34,70,48.57142857
WP_002469060.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,SP,Transmembrane protein,PredHel=1,Cytoplasmic Membrane,WP_002469060.1,,,16,3,6,8,,33,70,47.14285714
WP_001831025.1 MULTISPECIES_ competence type IV pilus minor pilin ComGD _Staphylococcus_,competence type IV pilus minor pilin ComGD ,PILIN,Transmembrane protein,PredHel=1,Cytoplasmic Membrane,WP_001831025.1,,,14,3,6,8,,31,70,44.28571429
WP_001829425.1 MULTISPECIES_ YSIRK domain-containing triacylglycerol lipase GehC _Staphylococcus_,YSIRK domain-containing triacylglycerol lipase GehC ,SP,Globular protein,PredHel=1,Extracellular,WP_001829425.1,WP_001829425.1,PF04650,16,6,6,16,0,44,100,44
