ProteinID,SignalP,Cwpred,TMHMM,DeepLocPro
WP_000968575.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_001043863.1 MULTISPECIES_ HU family DNA-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001048816.1 MULTISPECIES_ F0F1 ATP synthase subunit C _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_001053439.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001096393.1 MULTISPECIES_ beta-lactam sensor_signal transducer BlaR1 _Staphylococcus_,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane
WP_001105987.1 MULTISPECIES_ IS6-like element IS257 family transposase _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001106065.1 MULTISPECIES_ IS6 family transposase _Bacillati_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001118667.1 MULTISPECIES_ 30S ribosomal protein S10 _Bacteria_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001137495.1 MULTISPECIES_ 30S ribosomal protein S7 _Bacilli_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001284652.1 MULTISPECIES_ penicillinase repressor BlaI _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001551920.1 MULTISPECIES_ accessory Sec system glycosyltransferase GtfA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001551922.1 MULTISPECIES_ accessory Sec system glycosylation chaperone GtfB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001551924.1 MULTISPECIES_ DUF1643 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001551925.1 MULTISPECIES_ DUF960 family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001551929.1 MULTISPECIES_ SAUGI family uracil-DNA glycosylase inhibitor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001551932.1 MULTISPECIES_ cassette chromosome recombinase CcrA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001551935.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001631028.1 MULTISPECIES_ restriction endonuclease subunit R _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001631029.1 MULTISPECIES_ restriction endonuclease subunit S _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001631030.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001631031.1 MULTISPECIES_ DUF2871 domain-containing protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001631032.1 MULTISPECIES_ DUF1643 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001631033.1 MULTISPECIES_ DUF960 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001631034.1 MULTISPECIES_ SAUGI family uracil-DNA glycosylase inhibitor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001631035.1 MULTISPECIES_ cassette chromosome recombinase CcrB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001631036.1 MULTISPECIES_ cassette chromosome recombinase CcrA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001631039.1 MULTISPECIES_ hypothetical protein _Bacillota_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001791613.1 MULTISPECIES_ type I toxin-antitoxin system Fst family toxin _Bacteria_,OTHER,Transmembrane protein,PredHel=1,Cytoplasmic Membrane
WP_001802814.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829249.1 MULTISPECIES_ IS200_IS605 family transposase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829251.1 MULTISPECIES_ oligopeptide ABC transporter permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001829253.1 MULTISPECIES_ peptide ABC transporter substrate-binding protein _Staphylococcus_,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001829254.1 MULTISPECIES_ enoyl-ACP reductase FabI _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829256.1 MULTISPECIES_ protease adaptor protein YjbH _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829258.1 MULTISPECIES_ transposase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001829261.1 MULTISPECIES_ beta-ketoacyl-ACP synthase III _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001829266.1 MULTISPECIES_ GTP pyrophosphokinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829269.1 MULTISPECIES_ lipoate--protein ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829272.1 MULTISPECIES_ competence protein ComK _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829277.1 MULTISPECIES_ bifunctional metallophosphatase_5_-nucleotidase _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic
WP_001829279.1 MULTISPECIES_ oligoendopeptidase F _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829282.1 MULTISPECIES_ competence protein CoiA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829283.1 MULTISPECIES_ acyltransferase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=11,Cytoplasmic Membrane
WP_001829285.1 MULTISPECIES_ tryptophan--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829290.1 MULTISPECIES_ metal-sulfur cluster assembly factor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829292.1 MULTISPECIES_ IDEAL domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829294.1 MULTISPECIES_ transcriptional regulator SpxA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829296.1 MULTISPECIES_ YjcG family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829298.1 MULTISPECIES_ diglucosyl diacylglycerol synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001829303.1 MULTISPECIES_ lipoteichoic acid biosynthesis protein CozEa _Staphylococcus_,OTHER,Transmembrane protein,PredHel=9,Cytoplasmic Membrane
WP_001829306.1 MULTISPECIES_ NAD kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829308.1 MULTISPECIES_ adaptor protein MecA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829311.1 MULTISPECIES_ RluA family pseudouridine synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829312.1 MULTISPECIES_ CPBP family glutamic-type intramembrane protease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane
WP_001829314.1 MULTISPECIES_ TerC family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane
WP_001829318.1 MULTISPECIES_ peptide chain release factor 3 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829319.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001829320.1 MULTISPECIES_ YjzD family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_001829321.1 MULTISPECIES_ TrkH family potassium uptake protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001829323.1 MULTISPECIES_ UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829324.1 MULTISPECIES_ beta-ketoacyl-ACP synthase II _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001829326.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001829330.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001829332.1 MULTISPECIES_ ATP-binding cassette domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829335.1 MULTISPECIES_ S1C family serine protease _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001829337.1 MULTISPECIES_ DUF443 domain-containing protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001829338.1 MULTISPECIES_ oligopeptide ABC transporter permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001829339.1 MULTISPECIES_ YkvS family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829340.1 MULTISPECIES_ glutamate synthase subunit beta _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829342.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829343.1 MULTISPECIES_ YbaB_EbfC family nucleoid-associated protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829347.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829349.1 MULTISPECIES_ DUF2294 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829351.1 MULTISPECIES_ glutamine-hydrolyzing GMP synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829355.1 MULTISPECIES_ VOC family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829359.1 MULTISPECIES_ DUF4352 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001829360.1 MULTISPECIES_ xanthine permease PbuX _Staphylococcus_,OTHER,Transmembrane protein,PredHel=13,Cytoplasmic Membrane
WP_001829362.1 MULTISPECIES_ YibE_F family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane
WP_001829365.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,LIPO,Globular protein,PredHel=0,Extracellular
WP_001829367.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829369.1 MULTISPECIES_ PLP-dependent cysteine synthase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829373.1 MULTISPECIES_ hypothetical protein _Bacillales_,OTHER,Transmembrane protein,PredHel=1,Cytoplasmic Membrane
WP_001829374.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=3,Cytoplasmic Membrane
WP_001829376.1 MULTISPECIES_ tyrosine-type recombinase_integrase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829377.1 MULTISPECIES_ recombination mediator RecR _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829379.1 MULTISPECIES_ NUDIX domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829380.1 MULTISPECIES_ autolysin_adhesin Aae _Staphylococcus_,SP,Transmembrane protein,PredHel=0,Extracellular
WP_001829386.1 MULTISPECIES_ bifunctional cystathionine gamma-lyase_homocysteine desulfhydrase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829387.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829391.1 MULTISPECIES_ YeiH family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=11,Cytoplasmic Membrane
WP_001829393.1 MULTISPECIES_ sodium-dependent transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=11,Cytoplasmic Membrane
WP_001829400.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001829404.1 MULTISPECIES_ LysR family transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829405.1 MULTISPECIES_ GTP-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829407.1 MULTISPECIES_ IMP dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829410.1 MULTISPECIES_ xanthine phosphoribosyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829411.1 MULTISPECIES_ general stress protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829412.1 MULTISPECIES_ DNA polymerase III subunit gamma_tau _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829413.1 MULTISPECIES_ NADH dehydrogenase subunit 5 _Staphylococcus_,OTHER,Transmembrane protein,PredHel=13,Cytoplasmic Membrane
WP_001829416.1 MULTISPECIES_ GNAT family N-acetyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829417.1 MULTISPECIES_ ATP phosphoribosyltransferase regulatory subunit _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829419.1 MULTISPECIES_ histidinol dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829421.1 MULTISPECIES_ Lrp_AsnC family transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829422.1 MULTISPECIES_ pyroglutamyl-peptidase I _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829423.1 MULTISPECIES_ YceI family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829424.1 MULTISPECIES_ ATP phosphoribosyltransferase _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829425.1 MULTISPECIES_ YSIRK domain-containing triacylglycerol lipase GehC _Staphylococcus_,SP,Globular protein,PredHel=1,Extracellular
WP_001829426.1 MULTISPECIES_ arylamine N-acetyltransferase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829430.1 MULTISPECIES_ tubby C-terminal domain-like protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane
WP_001829431.1 MULTISPECIES_ imidazole glycerol phosphate synthase subunit HisF _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829433.1 MULTISPECIES_ SMP-30_gluconolactonase_LRE family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829434.1 MULTISPECIES_ rhodanese-related sulfurtransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829438.1 MULTISPECIES_ YjdF family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829439.1 MULTISPECIES_ imidazole glycerol phosphate synthase subunit HisH _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829440.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829441.1 MULTISPECIES_ L-lactate dehydrogenase _quinone_ _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001829442.1 MULTISPECIES_ immunodominant staphylococcal antigen IsaB family protein _Staphylococcus_,SP,Globular protein,PredHel=0,Extracellular
WP_001829444.1 MULTISPECIES_ 1-_5-phosphoribosyl_-5-__5-phosphoribosylamino_methylideneamino_imidazole-4-carboxamide isomerase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001829449.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829451.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829458.1 MULTISPECIES_ membrane protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_001829461.1 MULTISPECIES_ aspartate kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829463.1 MULTISPECIES_ RicAFT regulatory complex protein RicA family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829465.1 MULTISPECIES_ RNase P modulator RnpM _Bacilli_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829466.1 MULTISPECIES_ tRNA _guanosine_37_-N1_-methyltransferase TrmD _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829468.1 MULTISPECIES_ DNA-processing protein DprA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829470.1 MULTISPECIES_ CinA family nicotinamide mononucleotide deamidase-related protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829471.1 MULTISPECIES_ glycerol-3-phosphate responsive antiterminator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829472.1 MULTISPECIES_ ribosome recycling factor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829474.1 MULTISPECIES_ ATP-dependent protease ATPase subunit HslU _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829480.1 MULTISPECIES_ energy coupling factor transporter S component ThiW _Staphylococcus_,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane
WP_001829481.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829485.1 MULTISPECIES_ CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001829488.1 MULTISPECIES_ MerR family transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829492.1 MULTISPECIES_ type I glutamate--ammonia ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829495.1 MULTISPECIES_ ribosome biogenesis GTPase YlqF _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829496.1 MULTISPECIES_ thiamine-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829498.1 MULTISPECIES_ ATP-dependent protease subunit HslV _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001829499.1 MULTISPECIES_ phosphatidate cytidylyltransferase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=8,Cytoplasmic Membrane
WP_001829501.1 MULTISPECIES_ RIP metalloprotease RseP _Staphylococcus_,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane
WP_001829504.1 MULTISPECIES_ MIP_aquaporin family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane
WP_001829509.1 MULTISPECIES_ 30S ribosome-binding factor RbfA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829512.1 MULTISPECIES_ ribonuclease Y _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001829513.1 MULTISPECIES_ proline--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829514.1 MULTISPECIES_ ribonuclease HII _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829516.1 MULTISPECIES_ Cof-type HAD-IIB family hydrolase _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829517.1 MULTISPECIES_ RNA chaperone Hfq _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829522.1 MULTISPECIES_ glycerol kinase GlpK _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829562.1 MULTISPECIES_ bifunctional acetaldehyde-CoA_alcohol dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829567.1 MULTISPECIES_ CHY zinc finger protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829568.1 MULTISPECIES_ EMYY motif lipoprotein _Staphylococcus_,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001829569.1 MULTISPECIES_ type II toxin-antitoxin system toxin TsaT _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_001829571.1 MULTISPECIES_ ferrated catecholamine ABC transporter substrate-binding lipoprotein SstD _Staphylococcus_,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001829572.1 MULTISPECIES_ preprotein translocase subunit SecA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001829574.1 MULTISPECIES_ triose-phosphate isomerase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829582.1 MULTISPECIES_ class 1b ribonucleoside-diphosphate reductase subunit alpha _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001829583.1 MULTISPECIES_ hypothetical protein _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001829588.1 MULTISPECIES_ SsrA-binding protein SmpB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829589.1 MULTISPECIES_ class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
"WP_001829591.1 MULTISPECIES_ 2,3-bisphosphoglycerate-independent phosphoglycerate mutase _Staphylococcus_",OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001829592.1 MULTISPECIES_ ComF family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
