ProteinID,feature_annotation,GO_annotation,Description,SigP-Prediction,SigP_score,SigP_CS_Position,DLP-prediction,DLP-score,GPApred-prediction,GPApred-score,TMHMM-topology,TMHMM-TM,Phobius-TM,Phobius-prediction,length,s_seq_id,per_ident,length,qlen,slen,evalue,bitscore
WP_001830107.1,None,Unknown,50S ribosomal protein L28 ,OTHER,1,None,Extracellular,0.7951,P,0.552,i,0,0,i,62,WP_000076403.1,66.667,9,62,292,9.9,17.7
WP_001829351.1,None,Unknown,glutamine-hydrolyzing GMP synthase ,OTHER,1,None,Cytoplasmic,0.9306,None,None,o,0,0,i,513,WP_000043634.1,40.541,37,513,705,0.33,26.6
WP_001829938.1,None,Unknown,class IIb fructose-bisphosphate aldolase FdaB ,OTHER,1,None,Cytoplasmic,0.9953,None,None,o,0,0,i,286,WP_001131841.1,95.105,286,286,286,0,562
WP_001832195.1,None,Unknown,septation regulator SpoVG ,OTHER,1,None,Cytoplasmic,0.9987,None,None,i,0,0,i,102,None,None,None,None,None,None,None
WP_001832283.1,None,Unknown,50S ribosomal protein L7_L12 ,OTHER,1,None,Cytoplasmic,0.9641,None,None,o,0,0,i,122,None,None,None,None,None,None,None
WP_001832298.1,None,Cytoplasm,50S ribosomal protein L11 ,OTHER,1,None,Cytoplasmic,0.5341,None,None,i,0,0,i,140,None,None,None,None,None,None,None
WP_002457086.1,None,Unknown,Asp-tRNA_Asn__Glu-tRNA_Gln_ amidotransferase subunit GatC ,OTHER,1,None,Cytoplasmic,0.9985,None,None,i,0,0,i,100,None,None,None,None,None,None,None
WP_001829711.1,None,Cytoplasm,50S ribosomal protein L30 ,OTHER,1,None,Cytoplasmic,0.9048,P,0.523,i,0,0,i,60,WP_001096577.1,94.915,59,60,59,6.95E-38,114
WP_001832187.1,None,Unknown,pur operon repressor ,OTHER,1,None,Cytoplasmic,0.6919,None,None,o,0,0,i,274,None,None,None,None,None,None,None
WP_001833079.1,None,Cytoplasm,30S ribosomal protein S12 ,OTHER,1,None,Cytoplasmic,0.6522,None,None,o,0,0,i,137,None,None,None,None,None,None,None
WP_001830789.1,None,Cytoplasm,translation initiation factor IF-3 ,OTHER,1,None,Cytoplasmic,0.9951,None,None,o,0,0,i,175,None,None,None,None,None,None,None
WP_001830765.1,None,Unknown,ATP-dependent Clp protease ATP-binding subunit ClpX ,OTHER,1,None,Cytoplasmic,0.9637,None,None,o,0,0,i,420,None,None,None,None,None,None,None
WP_002439552.1,None,Cytoplasm,recombinase RecA ,OTHER,1,None,Cytoplasmic,0.9503,None,None,o,0,0,i,349,None,None,None,None,None,None,None
WP_001830940.1,None,Unknown,ABC-F family ATP-binding cassette domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9343,None,None,o,0,0,i,535,None,None,None,None,None,None,None
WP_001829916.1,None,Cytoplasm,uracil phosphoribosyltransferase ,OTHER,1,None,Cytoplasmic,0.982,None,None,o,0,0,i,209,WP_000048712.1,94.737,209,209,209,2.04E-148,405
WP_001831103.1,None,Unknown,Fur family transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.8856,None,None,o,0,0,i,149,None,None,None,None,None,None,None
WP_001831653.1,None,Unknown,pyruvate dehydrogenase ,OTHER,1,None,Cytoplasmic,0.8807,None,None,o,0,0,i,370,None,None,None,None,None,None,None
WP_001830335.1,None,Unknown,HTH-type transcriptional regulator MgrA ,OTHER,1,None,Cytoplasmic,0.9609,None,None,o,0,0,i,147,WP_001283444.1,94.558,147,147,147,1.22E-102,284
WP_001829913.1,None,Unknown,F0F1 ATP synthase subunit alpha ,OTHER,1,None,Cytoplasmic,0.5488,None,None,o,0,0,i,503,WP_000974882.1,94.223,502,503,502,0,964
WP_001832233.1,None,Unknown,ribose-phosphate diphosphokinase ,OTHER,1,None,Cytoplasmic,0.8084,None,None,o,0,0,i,321,None,None,None,None,None,None,None
WP_001830113.1,None,Unknown,signal recognition particle protein ,OTHER,1,None,Cytoplasmic,0.8824,None,None,o,0,0,i,455,WP_000379054.1,40.909,22,455,467,2.1,23.9
WP_002485909.1,None,Cytoplasm,50S ribosomal protein L24 ,OTHER,1,None,Cytoplasmic,0.9463,None,None,i,0,0,i,105,None,None,None,None,None,None,None
WP_001831336.1,None,Cytoplasm,redox-regulated ATPase YchF ,OTHER,1,None,Cytoplasmic,0.9987,None,None,o,0,0,i,365,None,None,None,None,None,None,None
WP_001829595.1,surface,Cytoplasm,surface-displayed alpha-enolase ,OTHER,1,None,Cytoplasmic,0.9884,None,None,o,0,0,i,434,WP_001121760.1,94.24,434,434,434,0,840
WP_001830148.1,None,Cytoplasm,thioredoxin ,OTHER,1,None,Cytoplasmic,0.9627,None,None,o,0,0,i,104,WP_001018928.1,94.231,104,104,104,7.58E-72,203
WP_001832242.1,None,Cytoplasm,cysteine synthase A ,OTHER,1,None,Cytoplasmic,0.9926,None,None,o,0,0,i,310,None,None,None,None,None,None,None
WP_001830820.1,None,Unknown,50S ribosomal protein L21 ,OTHER,1,None,Extracellular,0.6222,None,None,o,0,0,i,102,None,None,None,None,None,None,None
WP_001832557.1,None,Cytoplasm,30S ribosomal protein S2 ,OTHER,1,None,Cytoplasmic,0.684,None,None,o,0,0,i,262,None,None,None,None,None,None,None
WP_001831284.1,None,Unknown,translation elongation factor 4 ,OTHER,1,None,Cytoplasmic,0.7722,None,None,o,0,0,i,607,None,None,None,None,None,None,None
WP_001830839.1,None,Cytoplasm,50S ribosomal protein L20 ,OTHER,1,None,Extracellular,0.9884,None,None,o,0,0,i,118,None,None,None,None,None,None,None
WP_054828570.1,None,Cytoplasm,WP_054828570.1 50S ribosomal protein L19 ,OTHER,1,None,Extracellular,0.7518,None,None,o,0,0,i,116,None,None,None,None,None,None,None
WP_001829930.1,None,Unknown,F0F1 ATP synthase subunit beta ,OTHER,1,None,Cytoplasmic,0.5434,None,None,o,0,0,i,470,WP_000511135.1,93.83,470,470,470,0,900
WP_001832731.1,None,Cytoplasm,6-phospho-beta-galactosidase ,OTHER,1,None,Cytoplasmic,0.9477,None,None,o,0,0,i,470,None,None,None,None,None,None,None
WP_002469355.1,None,Cytoplasm,50S ribosomal protein L13 ,OTHER,1,None,Extracellular,0.5624,None,None,o,0,0,i,145,None,None,None,None,None,None,None
WP_002439506.1,None,Cytoplasm,GTP-sensing pleiotropic transcriptional regulator CodY ,OTHER,1,None,Cytoplasmic,0.9637,None,None,o,0,0,i,256,None,None,None,None,None,None,None
WP_002457357.1,None,Unknown,ribonuclease J2 ,OTHER,1,None,Cytoplasmic,0.8572,None,None,o,0,0,i,557,None,None,None,None,None,None,None
WP_001832120.1,None,Cytoplasm,YebC_PmpR family DNA-binding transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.8858,None,None,o,0,0,i,238,None,None,None,None,None,None,None
WP_001832300.1,None,Unknown,ATP-dependent Clp protease ATP-binding subunit ,OTHER,1,None,Cytoplasmic,0.964,None,None,o,0,0,i,817,None,None,None,None,None,None,None
WP_001832698.1,None,Cytoplasm,adenine phosphoribosyltransferase ,OTHER,1,None,Cytoplasmic,0.9277,None,None,o,0,0,i,172,None,None,None,None,None,None,None
WP_001830826.1,None,Unknown,NADP-dependent isocitrate dehydrogenase ,OTHER,1,None,Cytoplasmic,0.9422,None,None,o,0,0,i,422,None,None,None,None,None,None,None
WP_001830825.1,None,Unknown,transcriptional regulator NrdR ,OTHER,1,None,Cytoplasmic,0.9886,None,None,i,0,0,i,156,None,None,None,None,None,None,None
WP_001829318.1,None,Cytoplasm,peptide chain release factor 3 ,OTHER,1,None,Cytoplasmic,0.9584,None,None,o,0,0,i,520,WP_001048286.1,50,28,520,2478,0.39,26.6
WP_002446283.1,None,Unknown,succinate--CoA ligase subunit alpha ,OTHER,1,None,Cytoplasmic,0.9005,None,None,o,0,0,i,302,None,None,None,None,None,None,None
WP_001831813.1,None,Unknown,DNA polymerase III subunit beta ,OTHER,1,None,Cytoplasmic,0.8511,None,None,o,0,0,i,377,None,None,None,None,None,None,None
WP_001829254.1,None,Unknown,enoyl-ACP reductase FabI ,OTHER,1,None,Cytoplasmic,0.5265,None,None,o,0,0,i,256,WP_000933195.1,93.359,256,256,256,4.55E-178,484
WP_001831817.1,None,Unknown,DNA topoisomerase ,OTHER,1,None,Cytoplasmic,0.9544,None,None,o,0,0,i,643,None,None,None,None,None,None,None
WP_002439496.1,None,Unknown,ADP-forming succinate--CoA ligase subunit beta ,OTHER,1,None,Cytoplasmic,0.6403,None,None,o,0,0,i,388,None,None,None,None,None,None,None
WP_002439528.1,None,Cytoplasm,30S ribosomal protein S15 ,OTHER,1,None,Cytoplasmic,0.877,None,None,i,0,0,i,89,None,None,None,None,None,None,None
WP_001830868.1,None,Unknown,DUF948 domain-containing protein ,OTHER,1,None,Cytoplasmic Membrane,0.9927,None,None,o4-26i,1,1,o6-30i,163,None,None,None,None,None,None,None
WP_001829512.1,None,Unknown,ribonuclease Y ,OTHER,0.999547,None,Cytoplasmic Membrane,0.9625,None,None,i2-24o,1,0,n3-15c20/21o,519,WP_000648118.1,56.25,16,519,121,0.6,24.6
WP_001831818.1,None,Cytoplasm,tRNA uridine-5-carboxymethylaminomethyl_34_ synthesis enzyme MnmG ,OTHER,1,None,Cytoplasmic,0.917,None,None,o,0,0,i,625,None,None,None,None,None,None,None
WP_002456487.1,None,Cytoplasm,glycine--tRNA ligase ,OTHER,1,None,Cytoplasmic,0.9963,None,None,o,0,0,i,463,None,None,None,None,None,None,None
WP_001832314.1,None,Cytoplasm,50S ribosomal protein L1 ,OTHER,1,None,Extracellular,0.6088,None,None,o,0,0,i,231,None,None,None,None,None,None,None
WP_001830193.1,None,Unknown,succinate dehydrogenase flavoprotein subunit ,OTHER,1,None,Cytoplasmic Membrane,0.4751,None,None,o,0,0,n6-17c22/23o,588,WP_000046076.1,50,18,588,402,4.7,23.1
WP_001830374.1,None,Unknown,sensor histidine kinase ,OTHER,1,None,Cytoplasmic Membrane,0.9986,None,None,i13-35o45-67i,2,2,i12-34o46-69i,348,WP_000610189.1,66.667,12,348,341,4,22.3
WP_001829940.1,None,Unknown,peptide chain release factor 1 ,OTHER,1,None,Cytoplasmic,0.9947,None,None,o,0,0,i,358,WP_000930486.1,38.71,31,358,507,3.1,22.7
WP_001832499.1,None,Cytoplasm,argininosuccinate synthase ,OTHER,1,None,Cytoplasmic,0.9034,None,None,o,0,0,i,401,None,None,None,None,None,None,None
WP_001830798.1,None,Cytoplasm,30S ribosomal protein S4 ,OTHER,1,None,Extracellular,0.7183,None,None,o,0,0,i,200,None,None,None,None,None,None,None
WP_001831034.1,None,Unknown,cell division regulator GpsB ,OTHER,1,None,Cytoplasmic,0.9767,None,None,o,0,0,i,112,None,None,None,None,None,None,None
WP_001831217.1,None,Unknown,superoxide dismutase ,OTHER,1,None,Cytoplasmic,0.9715,None,None,o,0,0,i,199,None,None,None,None,None,None,None
WP_001830447.1,None,Cytoplasm,chaperonin GroEL ,OTHER,1,None,Cytoplasmic,0.9838,None,None,o,0,0,i,539,WP_000240645.1,92.95,539,539,538,0,1005
WP_002457087.1,None,Unknown,Asp-tRNA_Asn__Glu-tRNA_Gln_ amidotransferase subunit GatB ,OTHER,1,None,Cytoplasmic,0.9871,None,None,o,0,0,i,475,None,None,None,None,None,None,None
WP_002455931.1,None,Cytoplasm,adenylosuccinate synthase ,OTHER,1,None,Cytoplasmic,0.9853,None,None,o,0,0,i,427,None,None,None,None,None,None,None
WP_001829601.1,None,Unknown,excinuclease ABC subunit UvrB ,OTHER,1,None,Cytoplasmic,0.9624,None,None,o,0,0,i,661,WP_000181322.1,50,20,661,342,6.7,22.7
WP_001831737.1,None,Unknown,translational GTPase TypA ,OTHER,1,None,Cytoplasmic,0.9932,None,None,o,0,0,i,615,None,None,None,None,None,None,None
WP_001831042.1,None,Unknown,ribosome biogenesis GTPase Der ,OTHER,1,None,Cytoplasmic,0.9876,None,None,o,0,0,i,436,None,None,None,None,None,None,None
WP_001832200.1,None,Unknown,cyclic-di-AMP receptor ,OTHER,1,None,Cytoplasmic,0.9784,None,None,o,0,0,i,109,None,None,None,None,None,None,None
WP_002456533.1,None,Unknown,DNA topoisomerase IV subunit B ,OTHER,1,None,Cytoplasmic,0.8966,None,None,o,0,0,i,664,None,None,None,None,None,None,None
WP_001830070.1,None,Unknown,23S rRNA ,OTHER,1,None,Cytoplasmic,0.991,None,None,o,0,0,i,364,WP_000819088.1,41.667,24,364,887,1.7,23.9
WP_001829928.1,None,Cytoplasmic_membrane,diadenylate cyclase CdaA ,OTHER,1,None,Cytoplasmic Membrane,0.9998,None,None,o15-36i,1,3,o12-32i44-63o69-85i,269,WP_001048286.1,47.826,23,269,2478,5.8,21.6
WP_001831030.1,None,Unknown,DUF6501 family protein ,OTHER,1,None,Cytoplasmic,0.532,None,None,i,0,0,i,67,None,None,None,None,None,None,None
WP_002457133.1,None,Unknown,phosphoglucosamine mutase ,OTHER,1,None,Cytoplasmic,0.9962,P,0.826,o,0,0,i,451,None,None,None,None,None,None,None
WP_001829681.1,None,Unknown,cold-shock protein ,OTHER,1,None,Cytoplasmic,0.9996,None,None,i,0,0,i,66,WP_000809131.1,78.788,66,66,66,2.71E-34,105
WP_001830881.1,None,Unknown,transcription elongation factor GreA ,OTHER,1,None,Cytoplasmic,0.999,None,None,o,0,0,i,158,None,None,None,None,None,None,None
WP_001829755.1,None,Cytoplasm,50S ribosomal protein L23 ,OTHER,1,None,Cytoplasmic,0.5766,None,None,o,0,0,i,91,WP_000594519.1,58.333,12,91,309,9,18.9
WP_001829727.1,None,Unknown,50S ribosomal protein L3 ,OTHER,1,None,Extracellular,0.6887,None,None,o,0,0,i,220,WP_000160212.1,92.273,220,220,220,2.41E-143,393
WP_001829667.1,None,Cytoplasm,type I glyceraldehyde-3-phosphate dehydrogenase ,OTHER,1,None,Cytoplasmic,0.9335,None,None,o,0,0,i,336,WP_000279414.1,92.262,336,336,336,0,645
WP_001830665.1,None,Unknown,fructose bisphosphate aldolase ,OTHER,1,None,Cytoplasmic,0.978,None,None,o,0,0,i,296,None,None,None,None,None,None,None
WP_001830161.1,None,Unknown,3-oxoacyl-_acyl-carrier-protein_ reductase ,OTHER,1,None,Cytoplasmic,0.9075,None,None,o,0,0,i,244,WP_000167269.1,92.213,244,244,244,3.52E-170,463
WP_001829807.1,None,Unknown,XRE family transcriptional regulator XdrA ,OTHER,1,None,Cytoplasmic,0.9317,None,None,o,0,0,i,154,WP_000769720.1,50,12,154,190,6.1,20
WP_001829740.1,None,Cytoplasm,50S ribosomal protein L6 ,OTHER,1,None,Extracellular,0.761,None,None,o,0,0,i,178,WP_000091975.1,92.135,178,178,178,4.81E-122,336
WP_001830170.1,None,Cytoplasm,cell division protein FtsZ ,OTHER,1,None,Cytoplasmic,0.9853,None,None,o,0,0,i,394,WP_000888997.1,92.126,381,394,390,0,649
WP_001833080.1,None,Unknown,DNA repair protein RadA ,OTHER,1,None,Cytoplasmic,0.9618,None,None,o,0,0,i,457,None,None,None,None,None,None,None
WP_001829805.1,None,Unknown,YlbF_YmcA family competence regulator ,OTHER,1,None,Cytoplasmic,0.996,None,None,o,0,0,i,114,WP_000375647.1,42.857,21,114,466,0.77,22.3
WP_049387527.1,None,Unknown,WP_049387527.1 tRNA dihydrouridine synthase ,OTHER,1,None,Cytoplasmic,0.995,None,None,o,0,0,i,326,None,None,None,None,None,None,None
WP_002494082.1,None,Unknown,delta-hemolysin ,OTHER,0.99121,None,Extracellular,0.9995,None,None,i,0,0,i,25,None,None,None,None,None,None,None
WP_001830440.1,None,Unknown,adenylosuccinate lyase ,OTHER,1,None,Cytoplasmic,0.9424,None,None,o,0,0,i,431,WP_000572878.1,91.879,431,431,431,0,839
WP_001829407.1,None,Cytoplasm,IMP dehydrogenase ,OTHER,1,None,Cytoplasmic,0.747,None,None,o,0,0,i,488,WP_000645780.1,37.931,29,488,772,5.4,22.7
WP_002437327.1,wall,Unknown,cell wall metabolism sensor histidine kinase WalK ,OTHER,0.895411,None,Cytoplasmic Membrane,0.9989,None,None,o15-37i185-207o,2,2,i12-33o185-205i,610,None,None,None,None,None,None,None
WP_001832683.1,None,Cytoplasmic_membrane,RelA_SpoT family protein ,OTHER,1,None,Cytoplasmic,0.7943,None,None,o,0,0,i,729,None,None,None,None,None,None,None
WP_002439440.1,None,Cytoplasm,carbamoyl-phosphate synthase large subunit ,OTHER,1,None,Cytoplasmic,0.7383,None,None,o,0,0,i,1057,None,None,None,None,None,None,None
WP_002457104.1,None,Unknown,S1 domain-containing RNA-binding protein ,OTHER,1,None,Cytoplasmic,0.9921,None,None,o,0,0,i,133,None,None,None,None,None,None,None
WP_001829582.1,None,Unknown,class 1b ribonucleoside-diphosphate reductase subunit alpha ,OTHER,0.999717,None,Extracellular,0.6128,None,None,o,0,0,i,701,WP_000855505.1,91.726,701,701,701,0,1348
WP_001830559.1,None,Unknown,formate C-acetyltransferase ,OTHER,1,None,Cytoplasmic,0.929,None,None,o,0,0,i,748,None,None,None,None,None,None,None
