qseqid	sseqid	pident	length	evalue	bitscore
WP_138936984.1	sp|Q53653|CLFA_STAAE	45.652	46	2.91E-04	35.8
WP_002438286.1	tr|A0A1L7H885|A0A1L7H885_STAAU	40.426	47	3.15E-04	31.2
WP_002485785.1	sp|Q53653|CLFA_STAAE	48.649	37	3.42E-04	35
WP_080388512.1	sp|P80544|PLS_STAAU	38.095	42	3.49E-04	38.9
WP_001830017.1	tr|A0A390J584|A0A390J584_STAAU	31.429	35	3.94E-04	30.8
WP_001832578.1	sp|Q2FHV1|ISDA_STAA3	35.294	51	5.12E-04	33.9
WP_002485785.1	sp|Q2G2B2|SASG_STAA8	46.154	39	5.18E-04	34.3
WP_410467994.1	sp|Q2FUW1|SRAP_STAA8	34.437	151	5.48E-04	33.9
WP_002485785.1	sp|Q7A656|ISDB_STAAN	38.095	42	6.94E-04	33.9
WP_080388512.1	sp|Q2G2B2|SASG_STAA8	50	26	7.94E-04	37.7
WP_002437272.1	sp|Q8NW39|ISDH_STAAW	51.613	31	0.001	32.7
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	45.455	33	0.001	34.3
WP_002489907.1	sp|Q53653|CLFA_STAAE	36.957	46	0.001	31.6
WP_138936984.1	sp|Q7A656|ISDB_STAAN	36.264	91	0.001	33.9
WP_001832578.1	sp|Q53653|CLFA_STAAE	33.333	87	0.001	32.7
WP_025987120.1	sp|Q2FHV1|ISDA_STAA3	31.373	51	0.001	32
WP_002439636.1	sp|P0C047|ESXB_STAAE	28.986	69	0.001	30
WP_001829926.1	sp|P80544|PLS_STAAU	27.778	72	0.001	31.6
WP_001831133.1	sp|Q7A656|ISDB_STAAN	24.658	146	0.001	30
WP_002485785.1	sp|P80544|PLS_STAAU	45.455	44	0.002	32.3
WP_138936984.1	sp|Q2FHV1|ISDA_STAA3	40	40	0.002	33.1
WP_001832578.1	sp|Q7A656|ISDB_STAAN	35.849	53	0.002	32
WP_002487864.1	sp|Q8NW39|ISDH_STAAW	34.694	49	0.002	32.7
WP_002437272.1	sp|Q53653|CLFA_STAAE	32.558	43	0.002	32.3
WP_001832639.1	sp|Q2G2B2|SASG_STAA8	30.588	85	0.002	30.8
WP_002457086.1	sp|Q2FJ78|SDRD_STAA3	27.778	72	0.002	27.3
WP_001831622.1	tr|A0A1L7H885|A0A1L7H885_STAAU	24.138	116	0.002	27.3
WP_001830633.1	sp|O33635|ATL_STAEP	23.577	123	0.002	30.8
WP_002489907.1	sp|Q8NW39|ISDH_STAAW	45.455	33	0.003	30
WP_001832672.1	sp|Q5HCR7|CLFB_STAAC	42.857	49	0.003	33.9
WP_001829669.1	sp|O33635|ATL_STAEP	37.037	27	0.003	26.2
WP_001829904.1	sp|Q2FE03|FNBA_STAA3	32.432	148	0.003	29.6
WP_002489907.1	sp|Q2FJ77|SDRE_STAA3	39.13	46	0.004	29.6
WP_002456004.1	tr|A0A1L7H885|A0A1L7H885_STAAU	37.5	40	0.004	28.5
WP_080388512.1	sp|Q5HCR7|CLFB_STAAC	36.111	36	0.004	35
WP_002489584.1	sp|Q8NW39|ISDH_STAAW	33.333	75	0.004	30
WP_001830633.1	sp|Q2FJ78|SDRD_STAA3	31.034	58	0.004	30
WP_002487864.1	sp|Q2FHV1|ISDA_STAA3	47.619	21	0.005	31.2
WP_001832672.1	sp|Q2G2B2|SASG_STAA8	43.75	32	0.005	33.5
WP_001832578.1	sp|Q2FE03|FNBA_STAA3	41.935	31	0.005	30.8
WP_001831148.1	sp|Q8NW39|ISDH_STAAW	39.216	51	0.005	25.4
WP_002489907.1	sp|Q5HCR7|CLFB_STAAC	32	75	0.005	29.6
WP_001830831.1	sp|P0C047|ESXB_STAAE	27.551	98	0.005	28.5
WP_002487864.1	sp|Q7A656|ISDB_STAAN	46.667	30	0.006	31.2
WP_025987120.1	sp|Q2FE03|FNBA_STAA3	28.866	97	0.006	30.4
WP_001830633.1	sp|Q2FJ77|SDRE_STAA3	25	96	0.006	29.3
WP_001830575.1	sp|O33635|ATL_STAEP	19.307	202	0.006	30.4
WP_001832672.1	sp|O86487|SDRC_STAAE	38.182	55	0.007	32.7
WP_001831193.1	sp|Q2FJ78|SDRD_STAA3	33.333	51	0.007	27.7
WP_002457086.1	sp|Q2FJ78|SDRD_STAA3	27.358	106	0.007	25.8
WP_002437272.1	sp|Q7A656|ISDB_STAAN	26.316	76	0.007	30.4
WP_410467994.1	sp|Q7A656|ISDB_STAAN	22.222	207	0.007	30
WP_002489707.1	tr|A0A1L7H885|A0A1L7H885_STAAU	43.75	32	0.008	27.3
WP_002494680.1	sp|Q2FJ77|SDRE_STAA3	36.842	38	0.008	24.6
WP_001832099.1	tr|A0A0U3TLJ6|A0A0U3TLJ6_STAAU	30	50	0.008	25.4
WP_001830040.1	sp|O33635|ATL_STAEP	26.087	46	0.01	26.9
WP_001831559.1	sp|Q2FE03|FNBA_STAA3	22.535	71	0.01	29.6
WP_002489907.1	sp|Q2FJ78|SDRD_STAA3	39.13	46	0.011	28.5
WP_001830931.1	sp|Q53654|CNA_STAAU	45	40	0.012	27.3
WP_001830661.1	sp|Q53654|CNA_STAAU	27.273	88	0.012	27.7
WP_001831571.1	sp|O33635|ATL_STAEP	24.219	128	0.012	28.5
WP_001831881.1	sp|Q53654|CNA_STAAU	44.828	29	0.013	29.3
WP_002493579.1	sp|Q53654|CNA_STAAU	31.818	22	0.013	21.9
WP_001830651.1	sp|Q2G2B2|SASG_STAA8	25.166	151	0.013	28.9
WP_001832672.1	sp|Q53653|CLFA_STAAE	38.889	54	0.014	32
WP_000612778.1	sp|Q2FJ78|SDRD_STAA3	26.23	61	0.014	26.2
WP_001832578.1	sp|Q8NW39|ISDH_STAAW	41.667	24	0.015	29.3
WP_138936984.1	sp|Q2G2B2|SASG_STAA8	38.235	34	0.015	30.4
WP_001830442.1	tr|A0A1L7H885|A0A1L7H885_STAAU	37.736	53	0.015	26.9
WP_138936984.1	sp|Q2FE03|FNBA_STAA3	23.116	199	0.015	30.4
WP_410467994.1	sp|P80544|PLS_STAAU	20.455	176	0.015	29.3
WP_138936984.1	sp|Q7A656|ISDB_STAAN	25	68	0.016	30
WP_025987120.1	sp|Q7A656|ISDB_STAAN	43.333	30	0.017	28.9
WP_083553770.1	sp|Q5HCR7|CLFB_STAAC	25.882	85	0.017	28.1
WP_001830117.1	tr|A0A390J584|A0A390J584_STAAU	25	76	0.017	25.4
WP_002438072.1	sp|O86487|SDRC_STAAE	73.333	15	0.018	26.9
WP_002437110.1	sp|Q53654|CNA_STAAU	41.176	34	0.019	27.7
WP_002437110.1	sp|Q53654|CNA_STAAU	41.176	34	0.019	27.7
WP_001831713.1	sp|Q7A656|ISDB_STAAN	25.397	63	0.019	28.9
WP_002485785.1	sp|Q2FJ77|SDRE_STAA3	44.737	38	0.02	29.3
WP_001830868.1	sp|P80544|PLS_STAAU	23.81	105	0.02	26.2
WP_001830633.1	sp|Q7A656|ISDB_STAAN	22.34	94	0.02	27.3
WP_002455936.1	sp|Q53654|CNA_STAAU	22.222	117	0.02	27.7
WP_049387514.1	sp|Q53654|CNA_STAAU	36.364	22	0.021	28.1
WP_001831174.1	sp|Q7A656|ISDB_STAAN	32.609	46	0.021	27.7
WP_001830417.1	sp|Q53654|CNA_STAAU	30.263	76	0.021	26.9
WP_001830371.1	sp|Q2FHV1|ISDA_STAA3	30	50	0.022	25.8
WP_001832056.1	sp|Q53654|CNA_STAAU	30	40	0.022	26.6
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	27.885	104	0.022	29.6
WP_002438434.1	sp|Q2G2B2|SASG_STAA8	22.078	77	0.022	26.9
WP_001832064.1	sp|Q2FE03|FNBA_STAA3	50	26	0.023	23.1
WP_001832672.1	sp|Q2FUW1|SRAP_STAA8	48.649	37	0.023	31.2
WP_001829282.1	sp|Q2FJ78|SDRD_STAA3	45	20	0.023	27.3
WP_001830036.1	sp|Q2G2B2|SASG_STAA8	33.333	57	0.024	25.8
WP_001831441.1	sp|Q2FJ78|SDRD_STAA3	22.059	68	0.024	27.3
WP_001829442.1	sp|Q2G2B2|SASG_STAA8	22.034	118	0.024	25.8
WP_001832708.1	sp|Q8NW39|ISDH_STAAW	25.61	82	0.025	25.8
WP_000793596.1	sp|Q53653|CLFA_STAAE	33.333	96	0.026	27.3
WP_001831093.1	sp|A6QF98|EMP_STAAE	28.571	77	0.026	26.9
WP_002485785.1	sp|Q2FE03|FNBA_STAA3	40	25	0.027	28.5
WP_002485785.1	sp|Q2FE03|FNBA_STAA3	43.59	39	0.028	28.5
WP_002487864.1	sp|Q2G2B2|SASG_STAA8	34.211	38	0.028	29.3
WP_002437272.1	sp|O33635|ATL_STAEP	26.882	93	0.028	28.5
WP_001829838.1	sp|Q2FJ78|SDRD_STAA3	38.298	47	0.029	26.6
WP_002440903.1	sp|Q5HCR7|CLFB_STAAC	34.483	29	0.029	26.6
WP_002456007.1	sp|Q53654|CNA_STAAU	35.484	31	0.03	25
WP_002456007.1	sp|Q53654|CNA_STAAU	35.484	31	0.03	25
WP_002456423.1	sp|Q2FJ78|SDRD_STAA3	31.25	32	0.03	23.1
WP_002456352.1	tr|A0A1L7H885|A0A1L7H885_STAAU	25.714	70	0.03	25.8
WP_001831101.1	sp|Q2FJ78|SDRD_STAA3	24.742	97	0.03	27.3
WP_002438178.1	sp|Q2FJ78|SDRD_STAA3	27.451	51	0.032	23.9
WP_002485785.1	sp|O86487|SDRC_STAAE	44.737	38	0.034	28.5
WP_410467994.1	sp|Q2FJ77|SDRE_STAA3	17.105	152	0.034	28.1
WP_001829727.1	sp|Q2FJ78|SDRD_STAA3	31.429	35	0.036	25.8
WP_001831081.1	sp|Q2FJ78|SDRD_STAA3	69.231	13	0.037	26.6
WP_001832672.1	sp|Q2FJ78|SDRD_STAA3	42.308	26	0.038	30.4
WP_001830624.1	sp|P80544|PLS_STAAU	25.581	86	0.039	28.1
WP_001829780.1	sp|O33635|ATL_STAEP	50	22	0.04	25
WP_001832672.1	sp|Q2FJ77|SDRE_STAA3	42.308	26	0.04	30.4
WP_002439621.1	sp|P80544|PLS_STAAU	41.667	36	0.04	25.8
WP_054828573.1	sp|Q8NW39|ISDH_STAAW	36.111	72	0.04	25.8
WP_002438689.1	sp|Q2G2B2|SASG_STAA8	26.429	140	0.04	28.9
WP_001831294.1	sp|Q53653|CLFA_STAAE	25.893	112	0.041	26.2
WP_002489584.1	sp|Q53654|CNA_STAAU	23.438	64	0.041	26.9
WP_001831122.1	sp|Q8NW39|ISDH_STAAW	38.889	36	0.042	27.3
WP_002456315.1	sp|O33635|ATL_STAEP	33.333	48	0.042	27.3
WP_002489667.1	sp|P80544|PLS_STAAU	28.571	77	0.042	27.7
WP_001831164.1	sp|A6QF98|EMP_STAAE	25	52	0.042	24.6
WP_001832142.1	sp|A6QF98|EMP_STAAE	41.176	34	0.043	24.6
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	27.885	104	0.043	28.5
WP_002437189.1	sp|Q2G2B2|SASG_STAA8	35.088	57	0.044	25.4
WP_001832026.1	sp|Q2FHV1|ISDA_STAA3	27.451	51	0.045	25
WP_001830731.1	sp|Q8NW39|ISDH_STAAW	45.455	22	0.046	25.8
WP_001830465.1	tr|A0A390J584|A0A390J584_STAAU	40.741	27	0.046	23.9
WP_001831755.1	tr|A0A1L7H885|A0A1L7H885_STAAU	38.462	26	0.046	23.9
WP_002437189.1	sp|Q2G2B2|SASG_STAA8	35.088	57	0.046	25.4
WP_001831101.1	sp|O86487|SDRC_STAAE	28.767	73	0.048	26.6
WP_001831025.1	sp|Q2FJ77|SDRE_STAA3	31.25	32	0.049	24.6
WP_002437110.1	sp|Q2FJ77|SDRE_STAA3	38.462	52	0.05	26.6
WP_001833064.1	sp|O33635|ATL_STAEP	33.333	24	0.052	23.1
WP_002438144.1	sp|O86487|SDRC_STAAE	23.077	65	0.052	25.4
WP_001832672.1	sp|P80544|PLS_STAAU	42.553	47	0.053	30
WP_001831744.1	sp|Q7A656|ISDB_STAAN	32.143	56	0.053	26.6
WP_057504652.1	sp|A6QF98|EMP_STAAE	23.288	73	0.053	26.9
WP_001830043.1	sp|Q2FE03|FNBA_STAA3	34.146	41	0.055	26.2
WP_002456004.1	sp|Q2FJ78|SDRD_STAA3	26.136	88	0.055	25.8
WP_001832121.1	sp|A6QF98|EMP_STAAE	22.093	86	0.055	24.6
WP_001832289.1	sp|Q5HCR7|CLFB_STAAC	39.394	33	0.056	26.6
WP_001831251.1	sp|P0C047|ESXB_STAAE	35.714	42	0.056	25
WP_001830593.1	sp|Q2FUW1|SRAP_STAA8	25.301	83	0.056	26.9
WP_002437518.1	sp|Q2G2B2|SASG_STAA8	24.051	79	0.056	24.6
WP_001831167.1	sp|Q53654|CNA_STAAU	23.932	117	0.056	26.9
WP_002437189.1	sp|Q2G2B2|SASG_STAA8	33.333	57	0.057	25
WP_002437189.1	sp|Q2G2B2|SASG_STAA8	33.333	57	0.057	25
WP_002437189.1	sp|Q2G2B2|SASG_STAA8	33.333	57	0.057	25
WP_002437189.1	sp|Q2G2B2|SASG_STAA8	33.333	57	0.057	25
WP_002437189.1	sp|Q2G2B2|SASG_STAA8	33.333	57	0.057	25
WP_001832032.1	tr|A0A1L7H885|A0A1L7H885_STAAU	44.828	29	0.058	25
WP_001830462.1	sp|Q53654|CNA_STAAU	28.226	124	0.058	26.9
WP_001830626.1	sp|O33635|ATL_STAEP	27.5	40	0.058	25.4
WP_002456548.1	sp|P80544|PLS_STAAU	26.25	80	0.058	25.4
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	30.38	79	0.059	28.1
WP_001830787.1	sp|Q2G2B2|SASG_STAA8	26.667	60	0.061	26.2
WP_001830787.1	sp|Q2G2B2|SASG_STAA8	26.667	60	0.061	26.2
WP_002437720.1	tr|A0A1L7H885|A0A1L7H885_STAAU	36.364	33	0.062	25
WP_001831275.1	sp|Q7A656|ISDB_STAAN	26.923	78	0.062	27.3
WP_001831535.1	sp|Q2FE03|FNBA_STAA3	52.174	23	0.063	23.1
WP_001832304.1	sp|A0A0H2XI99|ESXA_STAA3	28.723	94	0.063	24.6
WP_002439534.1	sp|Q7A656|ISDB_STAAN	33.333	54	0.064	27.3
WP_001831899.1	sp|Q53653|CLFA_STAAE	25	64	0.065	23.9
WP_001830442.1	sp|Q53654|CNA_STAAU	35	40	0.066	26.2
WP_002438502.1	tr|A0A1L7H885|A0A1L7H885_STAAU	32.609	46	0.067	24.6
WP_002473931.1	sp|P80544|PLS_STAAU	40	30	0.068	25
WP_002437110.1	sp|Q53654|CNA_STAAU	38.235	34	0.069	26.2
WP_001829669.1	sp|O33635|ATL_STAEP	46.875	32	0.07	22.3
WP_002456711.1	sp|Q5HCR7|CLFB_STAAC	31.481	54	0.07	25.4
WP_002456446.1	sp|Q5HCR7|CLFB_STAAC	30.769	65	0.071	24.3
WP_001831650.1	sp|Q2FJ77|SDRE_STAA3	28.378	74	0.072	26.6
WP_001831101.1	sp|Q2FJ77|SDRE_STAA3	26.087	92	0.072	26.2
WP_002456453.1	sp|Q2FJ78|SDRD_STAA3	41.935	31	0.073	23.9
WP_002470194.1	sp|Q2FUW1|SRAP_STAA8	22.34	94	0.075	26.9
WP_410467994.1	sp|P80544|PLS_STAAU	18.817	186	0.076	26.9
WP_002468003.1	sp|Q53654|CNA_STAAU	39.024	41	0.078	24.3
WP_002456719.1	tr|A0A1L7H885|A0A1L7H885_STAAU	31.373	51	0.078	21.2
WP_001831654.1	tr|A0A390J584|A0A390J584_STAAU	27.778	36	0.078	24.6
WP_001832647.1	sp|Q8NW39|ISDH_STAAW	36.364	33	0.079	25.8
WP_002437272.1	sp|Q2FE03|FNBA_STAA3	27.731	119	0.079	26.9
WP_002494680.1	sp|Q53653|CLFA_STAAE	47.619	21	0.081	21.9
WP_002456715.1	sp|Q5HCR7|CLFB_STAAC	34.483	29	0.081	24.6
WP_001830661.1	sp|Q53654|CNA_STAAU	21.986	141	0.081	25
WP_138936984.1	sp|Q53653|CLFA_STAAE	23.256	344	0.082	27.7
WP_001832305.1	sp|Q5HCR7|CLFB_STAAC	31.111	90	0.084	26.6
WP_002438689.1	sp|Q2G2B2|SASG_STAA8	26.619	139	0.084	27.7
WP_001830665.1	sp|O33635|ATL_STAEP	32.432	37	0.085	25.4
WP_002468671.1	sp|Q5HCR7|CLFB_STAAC	24.39	82	0.086	23.9
WP_153647446.1	sp|O33635|ATL_STAEP	35.135	37	0.087	24.6
WP_001832263.1	sp|Q2FJ78|SDRD_STAA3	30.189	53	0.087	26.2
WP_002485123.1	sp|Q5HCR7|CLFB_STAAC	42.308	26	0.088	25.4
WP_001829365.1	sp|Q53653|CLFA_STAAE	26.882	93	0.088	24.3
WP_001830820.1	sp|Q2FHV1|ISDA_STAA3	24.59	61	0.089	22.7
WP_001832592.1	sp|Q7A656|ISDB_STAAN	60	15	0.09	24.3
WP_002437223.1	sp|A0A0H2XI99|ESXA_STAA3	30	70	0.09	25.4
WP_001829832.1	sp|Q53653|CLFA_STAAE	33.333	60	0.091	25
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	28.889	90	0.091	27.7
WP_001831032.1	sp|Q2FE03|FNBA_STAA3	23.276	116	0.091	26.9
WP_002489706.1	sp|Q8NW39|ISDH_STAAW	18.627	204	0.091	26.2
WP_001832672.1	sp|Q7A656|ISDB_STAAN	37.209	43	0.092	29.3
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	29.114	79	0.092	27.7
WP_001830479.1	sp|Q8NW39|ISDH_STAAW	24	175	0.092	25.8
WP_002437878.1	sp|O33635|ATL_STAEP	25	40	0.096	24.3
WP_001830943.1	sp|O33635|ATL_STAEP	37.037	27	0.097	24.6
WP_001832179.1	sp|O33635|ATL_STAEP	34.483	29	0.097	23.9
WP_001829601.1	sp|Q2FHV1|ISDA_STAA3	28.889	45	0.097	26.2
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	27.885	104	0.097	27.7
WP_054828587.1	sp|Q2FJ77|SDRE_STAA3	34.375	32	0.098	21.9
WP_002456218.1	sp|Q2FJ78|SDRD_STAA3	31.429	35	0.098	25.8
WP_001830461.1	sp|Q2FE03|FNBA_STAA3	28.037	107	0.098	28.5
WP_002489413.1	sp|O33635|ATL_STAEP	27.941	68	0.098	25.8
WP_001829568.1	sp|Q8NW39|ISDH_STAAW	38.776	49	0.099	25
WP_002438878.1	sp|Q2FJ77|SDRE_STAA3	37.209	43	0.1	25
WP_001831324.1	sp|O33635|ATL_STAEP	34.146	41	0.1	25.8
WP_002456943.1	sp|Q2FE03|FNBA_STAA3	33.333	27	0.1	24.6
WP_001830080.1	sp|Q7A656|ISDB_STAAN	32.432	74	0.1	25.4
WP_001830386.1	sp|Q2G2B2|SASG_STAA8	32	50	0.1	25.4
WP_001829942.1	sp|Q2FE03|FNBA_STAA3	25.287	87	0.1	25
WP_001830593.1	sp|Q2FJ77|SDRE_STAA3	24.242	99	0.1	26.2
WP_001831571.1	sp|P80544|PLS_STAAU	22.222	90	0.1	25.4
WP_001833067.1	sp|Q5HCR7|CLFB_STAAC	58.824	17	0.11	25.4
WP_001832566.1	sp|O86487|SDRC_STAAE	52.381	21	0.11	26.2
WP_002457110.1	sp|Q8NW39|ISDH_STAAW	45	20	0.11	25.8
WP_001832233.1	sp|Q2FJ77|SDRE_STAA3	41.379	29	0.11	25
WP_001832762.1	sp|Q7A656|ISDB_STAAN	39.286	28	0.11	25.4
WP_001830329.1	tr|A0A1L7H885|A0A1L7H885_STAAU	36.364	33	0.11	23.1
WP_002440903.1	sp|O86487|SDRC_STAAE	35.714	28	0.11	24.6
WP_054828587.1	sp|Q2FJ78|SDRD_STAA3	34.286	35	0.11	21.9
WP_002456007.1	sp|Q53654|CNA_STAAU	32.258	31	0.11	23.5
WP_002489907.1	sp|Q8NW39|ISDH_STAAW	31.034	87	0.11	25
WP_002439511.1	sp|Q8NW39|ISDH_STAAW	27.536	69	0.11	24.6
WP_138936984.1	sp|Q8NW39|ISDH_STAAW	26.923	104	0.11	27.3
WP_002489699.1	sp|O86487|SDRC_STAAE	26.866	67	0.11	23.5
